SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_risk_score,actual_churn
0,1,0,1,0,1,24.8,24.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.79,1
0,0,0,41,1,1,25.25,996.45,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0.07,0
0,1,1,52,1,0,19.35,1031.7,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.03,0
0,0,0,1,1,0,76.35,76.35,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.68,1
0,0,0,67,1,0,50.55,3260.1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.05,0
1,1,0,68,1,1,89.6,6127.6,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.25,1
0,1,1,23,1,1,77.15,1759.4,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,0.03,0
0,1,1,72,1,0,72.1,5016.65,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0.02,0
0,0,0,70,1,1,104.0,7250.15,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0.16,1
0,0,0,1,1,0,19.4,19.4,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.33,1
0,0,0,1,1,0,20.45,20.45,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.1475,0
0,1,1,34,1,1,84.05,2909.95,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0.37,0
1,1,1,28,1,1,51.0,1381.8,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.15,0
1,0,0,18,1,1,85.45,1505.85,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.52,1
0,1,0,15,1,0,20.45,330.8,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0.1,0
1,0,0,11,1,1,95.15,997.65,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.92,1
0,0,0,11,1,0,53.75,608.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.42,1
0,1,1,1,1,1,70.0,70.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.90425,1
0,1,1,37,1,1,88.8,3340.55,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.21,0
0,0,1,22,1,1,89.4,2001.5,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,0.37,1
0,0,0,1,1,1,70.25,70.25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.92,0
0,1,1,1,1,0,19.45,19.45,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.47,0
0,1,1,46,1,1,80.0,3769.7,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2,0
0,0,0,51,1,0,107.45,5680.9,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,0.27,0
0,1,0,41,1,1,104.45,4162.05,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,0.28,0
0,1,0,5,1,0,67.95,350.3,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,0.19,1
0,0,0,45,1,1,89.3,4016.85,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.3,1
0,1,1,29,1,1,60.2,1834.15,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.11,0
1,0,0,15,1,1,91.5,1400.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.69,0
0,0,0,72,0,1,63.7,4464.8,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.0,0
0,1,0,50,1,1,103.95,5231.3,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,0.23,0
0,0,1,27,1,0,20.6,581.85,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0
0,1,0,72,1,1,85.15,6316.2,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.0,0
0,1,1,51,1,1,69.75,3562.5,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,0.16,0
0,1,0,60,1,1,94.1,5475.9,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,0.21,0
0,0,0,17,1,0,19.45,369.05,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.01,0
0,0,0,72,1,1,21.15,1419.4,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0,0
0,1,0,33,1,1,104.4,3409.6,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.45,1
1,1,1,66,1,1,104.9,6891.45,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0.37,0
0,1,1,69,1,1,103.95,7446.9,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.5,1
0,0,0,5,1,1,69.75,324.6,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.74,1
0,1,0,57,1,1,100.75,5985.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0.42,0
1,0,0,8,1,1,75.75,606.25,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.65,1
0,0,0,14,1,0,51.45,727.85,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,0.14,0
0,0,0,25,1,1,94.7,2362.1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.33,1
0,1,1,52,1,0,19.6,1012.4,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.0,0
1,0,0,7,1,0,76.45,503.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.37,1
0,0,0,13,1,1,79.8,973.45,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0.6,1
1,0,0,15,1,0,89.85,1424.95,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.46,1
0,0,0,22,1,1,55.15,1193.05,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0.1,1
0,0,0,19,1,0,19.9,367.55,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.02,0
0,1,1,23,0,1,30.35,678.75,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.2,0
0,1,0,72,1,1,113.65,8182.75,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.0,0
